date,action_id,action_type,ratio,price,shares_traded,fee_paid,cash,holdings,total_assets
2016-11-15,5,BUY,0.62,65.93000030517578,0.0,1.4936265213852948e-21,2.9599501923796753e-20,1541.3969273999005,101624.29989387245
2016-11-16,5,BUY,0.62,66.7699966430664,0.0,5.67578078126412e-22,1.1247810731042765e-20,1541.3969273999005,102919.06766812423
2016-11-17,5,BUY,0.62,66.30000305175781,0.0,2.1567966968803655e-22,4.27416807779625e-21,1541.3969273999005,102194.62099058351
2016-11-18,5,BUY,0.62,66.66999816894531,0.0,8.195827448145387e-23,1.6241838695625752e-21,1541.3969273999005,102764.9303273693
2016-11-21,5,BUY,0.62,67.30999755859375,0.0,3.114414430295247e-23,6.1718987043377865e-22,1541.3969273999005,103751.42342011121
2016-11-22,5,BUY,0.62,67.0999984741211,0.0,1.183477483512194e-23,2.345321507648359e-22,1541.3969273999005,103427.73147654827
2016-11-23,5,BUY,0.62,68.30999755859375,0.0,4.497214437346338e-24,8.912221729063765e-23,1541.3969273999005,105292.82034751111
2016-11-24,5,BUY,0.62,68.12999725341797,0.0,1.7089414861916087e-24,3.386644257044231e-23,1541.3969273999005,105015.36843018212
2016-11-25,5,BUY,0.62,68.12999725341797,0.0,6.493977647528113e-25,1.2869248176768077e-23,1541.3969273999005,105015.36843018212
2016-11-28,5,BUY,0.62,68.29000091552734,0.0,2.467711506060683e-25,4.890314307171869e-24,1541.3969273999005,105261.99758333025
2016-11-29,5,BUY,0.62,67.0999984741211,0.0,9.377303723030595e-26,1.8583194367253104e-24,1541.3969273999005,103427.73147654827
2016-11-30,5,BUY,0.62,66.7699966430664,0.0,3.563375414751626e-26,7.061613859556179e-25,1541.3969273999005,102919.06766812423
2016-12-01,5,BUY,0.62,68.12999725341797,0.0,1.3540826576056177e-26,2.683413266631348e-25,1541.3969273999005,105015.36843018212
2016-12-02,5,BUY,0.62,64.16000366210938,0.0,5.145514098901348e-27,1.0196970413199123e-25,1541.3969273999005,98896.03250674176
2016-12-05,5,BUY,0.62,65.83999633789062,0.0,1.9552953575825124e-27,3.874848757015666e-26,1541.3969273999005,101485.56805524531
2016-12-06,5,BUY,0.62,66.36000061035156,0.0,7.430122358813546e-28,1.472442527665953e-26,1541.3969273999005,102287.10104305141
2016-12-07,5,BUY,0.62,67.44999694824219,0.0,2.823446496349147e-28,5.5952816051306214e-27,1541.3969273999005,103967.21804915318
2016-12-08,5,BUY,0.62,68.33999633789062,0.0,1.072909668612676e-28,2.126207009949636e-27,1541.3969273999005,105339.06037374506
2016-12-09,5,BUY,0.62,68.55000305175781,0.0,4.077056740728168e-29,8.079586637808616e-28,1541.3969273999005,105662.7640772333
2016-12-12,5,BUY,0.62,68.5199966430664,0.0,1.549281561476704e-29,3.0702429223672743e-28,1541.3969273999005,105616.51229107406
2016-12-13,5,BUY,0.62,68.47000122070312,0.0,5.887269933611475e-30,1.1666923104995642e-28,1541.3969273999005,105539.44950065923
2016-12-14,5,BUY,0.62,69.33999633789062,0.0,2.23716257477236e-30,4.433430779898344e-29,1541.3969273999005,106880.45730114497
2016-12-15,5,BUY,0.62,67.55999755859375,0.0,8.501217784134967e-31,1.684703696361371e-29,1541.3969273999005,104136.77265196119
2016-12-16,5,BUY,0.62,68.02999877929688,0.0,3.230462757971289e-31,6.40187404617321e-30,1541.3969273999005,104861.23108942718
2016-12-19,5,BUY,0.62,66.45999908447266,0.0,1.22757584802909e-31,2.4327121375458198e-30,1541.3969273999005,102441.23838380635
2016-12-20,5,BUY,0.62,67.0199966430664,0.0,4.6647882225105405e-32,9.244306122674116e-31,1541.3969273999005,103304.41689997421
2016-12-21,5,BUY,0.62,66.91000366210938,0.0,1.7726195245540057e-32,3.512836326616164e-31,1541.3969273999005,103134.87405709148
2016-12-22,5,BUY,0.62,67.16000366210938,0.0,6.735954193305221e-33,1.3348778041141425e-31,1541.3969273999005,103520.22328894146
2016-12-23,5,BUY,0.62,66.76000213623047,0.0,2.5596625934559844e-33,5.072535655633741e-32,1541.3969273999005,102903.66216599644
2016-12-26,5,BUY,0.62,66.86000061035156,0.0,9.726717855132742e-34,1.9275635491408214e-32,1541.3969273999005,103057.79950675137
2016-12-27,5,BUY,0.62,66.86000061035156,0.0,3.696152784950441e-34,7.324741486735121e-33,1541.3969273999005,103057.79950675137
2016-12-28,5,BUY,0.62,67.25,0.0,1.4045380582811677e-34,2.783401764959346e-33,1541.3969273999005,103658.94336764331
2016-12-29,5,BUY,0.62,65.75,0.0,5.337244621468436e-35,1.0576926706845515e-33,1541.3969273999005,101346.84797654346
2016-12-30,5,BUY,0.62,66.04000091552734,0.0,2.028152956158006e-35,4.0192321486012955e-34,1541.3969273999005,101793.85449668046
2017-01-02,5,BUY,0.62,65.19999694824219,0.0,7.706981233400423e-36,1.5273082164684922e-34,1541.3969273999005,100499.0749625034
2017-01-03,5,BUY,0.62,65.19999694824219,0.0,2.9286528686921602e-36,5.803771222580271e-35,1541.3969273999005,100499.0749625034
2017-01-04,5,BUY,0.62,65.4000015258789,0.0,1.1128880901030209e-36,2.2054330645805032e-35,1541.3969273999005,100807.36140393856
2017-01-05,5,BUY,0.62,65.47000122070312,0.0,4.22897474239148e-37,8.380645645405913e-36,1541.3969273999005,100915.25871845953
2017-01-06,5,BUY,0.62,65.55000305175781,0.0,1.6070104021087628e-37,3.184645345254247e-36,1541.3969273999005,101038.5732950336
2017-01-09,5,BUY,0.62,65.52999877929688,0.0,6.106639528013298e-38,1.2101652311966138e-36,1541.3969273999005,101007.73877092743
2017-01-10,5,BUY,0.62,65.6500015258789,0.0,2.320523020645053e-38,4.598627878547132e-37,1541.3969273999005,101192.71063578852
2017-01-11,5,BUY,0.62,65.62999725341797,0.0,8.817987478451202e-39,1.7474785938479105e-37,1541.3969273999005,101161.87611168237
2017-01-12,5,BUY,0.62,66.0999984741211,0.0,3.3508352418114575e-39,6.640418656622059e-38,1541.3969273999005,101886.33454914836
2017-01-13,5,BUY,0.62,66.12000274658203,0.0,1.2733173918883535e-39,2.5233590895163826e-38,1541.3969273999005,101917.16907325452
2017-01-16,5,BUY,0.62,66.87999725341797,0.0,4.838606089175744e-40,9.588764540162253e-39,1541.3969273999005,103088.62227093225
2017-01-17,5,BUY,0.62,66.87999725341797,0.0,1.8386703138867823e-40,3.643730525261657e-39,1541.3969273999005,103088.62227093225
2017-01-18,5,BUY,0.62,64.19000244140625,0.0,6.986947192769774e-41,1.3846175995994295e-39,1541.3969273999005,98942.27253297571
2017-01-19,5,BUY,0.62,65.12999725341797,0.0,2.6550399332525143e-41,5.2615468784778324e-40,1541.3969273999005,100391.17764798242
2017-01-20,5,BUY,0.62,64.44000244140625,0.0,1.0089151746359554e-41,1.9993878138215764e-40,1541.3969273999005,99327.62176482569
2017-01-23,5,BUY,0.62,62.880001068115234,0.0,3.833877663616631e-42,7.59767369252199e-41,1541.3969273999005,96923.04044129528
2017-01-24,5,BUY,0.62,54.880001068115234,0.0,1.4568735121743196e-42,2.887116003158356e-41,1541.3969273999005,84591.86502209608
2017-01-25,5,BUY,0.62,55.0,0.0,5.536119346262415e-43,1.0971040812001753e-41,1541.3969273999005,84776.83100699453
2017-01-26,5,BUY,0.62,56.900001525878906,0.0,2.1037253515797175e-43,4.1689955085606656e-42,1541.3969273999005,87705.4875210394
